developer,day,MODIFY
ceilometer - jd - 2012-05-09 11:57:03+02:00,0,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,1,2
ceilometer - jd - 2012-05-09 11:57:03+02:00,2,2
ceilometer - jd - 2012-05-09 11:57:03+02:00,3,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,4,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,5,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,6,1
ceilometer - jd - 2012-05-09 11:57:03+02:00,7,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,8,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,9,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,10,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,11,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,12,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,13,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,14,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,15,2
ceilometer - jd - 2012-05-09 11:57:03+02:00,16,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,17,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,18,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,19,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,20,4
ceilometer - jd - 2012-05-09 11:57:03+02:00,21,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,22,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,23,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,24,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,25,1
ceilometer - jd - 2012-05-09 11:57:03+02:00,26,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,27,5
ceilometer - jd - 2012-05-09 11:57:03+02:00,28,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,29,2
ceilometer - jd - 2012-05-09 11:57:03+02:00,30,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,31,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,32,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,33,2
ceilometer - jd - 2012-05-09 11:57:03+02:00,34,1
ceilometer - jd - 2012-05-09 11:57:03+02:00,35,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,36,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,37,18
ceilometer - jd - 2012-05-09 11:57:03+02:00,38,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,39,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,40,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,41,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,42,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,43,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,44,0
