developer,day,MODIFY
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,0,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,1,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,2,6
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,3,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,4,5
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,5,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,6,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,7,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,8,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,9,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,10,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,11,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,12,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,13,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,14,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,15,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,16,6
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,17,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,18,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,19,11
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,20,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,21,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,22,5
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,23,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,24,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,25,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,26,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,27,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,28,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,29,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,30,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,31,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,32,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,33,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,34,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,35,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,36,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,37,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,38,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,39,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,40,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,41,3
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,42,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,43,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,44,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,45,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,46,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,47,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,48,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,49,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,50,4
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,51,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,52,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,53,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,54,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,55,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,56,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,57,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,58,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,59,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,60,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,61,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,62,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,63,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,64,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,65,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,66,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,67,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,68,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,69,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,70,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,71,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,72,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,73,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,74,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,75,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,76,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,77,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,78,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,79,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,80,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,81,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,82,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,83,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,84,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,85,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,86,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,87,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,88,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,89,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,90,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,91,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,92,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,93,3
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,94,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,95,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,96,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,97,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,98,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,99,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,100,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,101,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,102,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,103,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,104,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,105,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,106,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,107,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,108,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,109,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,110,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,111,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,112,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,113,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,114,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,115,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,116,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,117,7
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,118,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,119,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,120,3
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,121,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,122,5
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,123,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,124,5
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,125,4
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,126,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,127,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,128,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,129,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,130,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,131,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,132,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,133,3
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,134,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,135,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,136,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,137,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,138,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,139,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,140,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,141,3
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,142,2
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,143,1
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,144,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,145,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,146,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,147,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,148,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,149,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,150,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,151,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,152,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,153,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,154,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,155,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,156,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,157,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,158,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,159,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,160,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,161,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,162,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,163,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,164,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,165,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,166,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,167,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,168,0
statsmodels - jonathan.taylor - 2006-03-03 06:26:09-07:00,169,0
