developer,day,MODIFY
storm - nathanmarz - 2011-09-15 22:20:45-07:00,0,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,1,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,2,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,3,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,4,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,5,7
storm - nathanmarz - 2011-09-15 22:20:45-07:00,6,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,7,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,8,2
storm - nathanmarz - 2011-09-15 22:20:45-07:00,9,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,10,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,11,1
storm - nathanmarz - 2011-09-15 22:20:45-07:00,12,3
storm - nathanmarz - 2011-09-15 22:20:45-07:00,13,1
storm - nathanmarz - 2011-09-15 22:20:45-07:00,14,1
storm - nathanmarz - 2011-09-15 22:20:45-07:00,15,4
storm - nathanmarz - 2011-09-15 22:20:45-07:00,16,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,17,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,18,4
storm - nathanmarz - 2011-09-15 22:20:45-07:00,19,2
storm - nathanmarz - 2011-09-15 22:20:45-07:00,20,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,21,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,22,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,23,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,24,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,25,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,26,1
storm - nathanmarz - 2011-09-15 22:20:45-07:00,27,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,28,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,29,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,30,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,31,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,32,34
storm - nathanmarz - 2011-09-15 22:20:45-07:00,33,39
storm - nathanmarz - 2011-09-15 22:20:45-07:00,34,9
storm - nathanmarz - 2011-09-15 22:20:45-07:00,35,8
storm - nathanmarz - 2011-09-15 22:20:45-07:00,36,14
storm - nathanmarz - 2011-09-15 22:20:45-07:00,37,13
storm - nathanmarz - 2011-09-15 22:20:45-07:00,38,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,39,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,40,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,41,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,42,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,43,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,44,1
storm - nathanmarz - 2011-09-15 22:20:45-07:00,45,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,46,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,47,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,48,2
storm - nathanmarz - 2011-09-15 22:20:45-07:00,49,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,50,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,51,7
storm - nathanmarz - 2011-09-15 22:20:45-07:00,52,0
storm - nathanmarz - 2011-09-15 22:20:45-07:00,53,1
