developer,day,MODIFY
text - jekbradbury - 2016-12-14 21:04:52-08:00,0,3
text - jekbradbury - 2016-12-14 21:04:52-08:00,1,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,2,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,3,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,4,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,5,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,6,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,7,2
text - jekbradbury - 2016-12-14 21:04:52-08:00,8,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,9,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,10,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,11,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,12,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,13,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,14,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,15,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,16,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,17,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,18,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,19,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,20,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,21,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,22,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,23,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,24,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,25,6
text - jekbradbury - 2016-12-14 21:04:52-08:00,26,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,27,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,28,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,29,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,30,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,31,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,32,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,33,5
text - jekbradbury - 2016-12-14 21:04:52-08:00,34,16
text - jekbradbury - 2016-12-14 21:04:52-08:00,35,6
text - jekbradbury - 2016-12-14 21:04:52-08:00,36,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,37,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,38,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,39,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,40,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,41,26
text - jekbradbury - 2016-12-14 21:04:52-08:00,42,8
text - jekbradbury - 2016-12-14 21:04:52-08:00,43,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,44,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,45,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,46,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,47,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,48,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,49,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,50,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,51,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,52,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,53,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,54,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,55,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,56,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,57,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,58,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,59,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,60,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,61,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,62,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,63,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,64,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,65,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,66,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,67,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,68,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,69,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,70,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,71,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,72,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,73,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,74,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,75,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,76,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,77,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,78,2
text - jekbradbury - 2016-12-14 21:04:52-08:00,79,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,80,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,81,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,82,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,83,2
text - jekbradbury - 2016-12-14 21:04:52-08:00,84,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,85,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,86,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,87,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,88,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,89,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,90,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,91,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,92,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,93,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,94,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,95,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,96,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,97,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,98,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,99,1
text - jekbradbury - 2016-12-14 21:04:52-08:00,100,0
text - jekbradbury - 2016-12-14 21:04:52-08:00,101,0
