developer,day,MODIFY
vision - soumith - 2016-11-09 17:11:00-08:00,0,9
vision - soumith - 2016-11-09 17:11:00-08:00,1,0
vision - soumith - 2016-11-09 17:11:00-08:00,2,2
vision - soumith - 2016-11-09 17:11:00-08:00,3,0
vision - soumith - 2016-11-09 17:11:00-08:00,4,0
vision - soumith - 2016-11-09 17:11:00-08:00,5,0
vision - soumith - 2016-11-09 17:11:00-08:00,6,4
vision - soumith - 2016-11-09 17:11:00-08:00,7,0
vision - soumith - 2016-11-09 17:11:00-08:00,8,0
vision - soumith - 2016-11-09 17:11:00-08:00,9,2
vision - soumith - 2016-11-09 17:11:00-08:00,10,0
vision - soumith - 2016-11-09 17:11:00-08:00,11,0
vision - soumith - 2016-11-09 17:11:00-08:00,12,0
vision - soumith - 2016-11-09 17:11:00-08:00,13,0
vision - soumith - 2016-11-09 17:11:00-08:00,14,0
vision - soumith - 2016-11-09 17:11:00-08:00,15,0
vision - soumith - 2016-11-09 17:11:00-08:00,16,0
vision - soumith - 2016-11-09 17:11:00-08:00,17,5
vision - soumith - 2016-11-09 17:11:00-08:00,18,2
vision - soumith - 2016-11-09 17:11:00-08:00,19,0
vision - soumith - 2016-11-09 17:11:00-08:00,20,0
vision - soumith - 2016-11-09 17:11:00-08:00,21,0
vision - soumith - 2016-11-09 17:11:00-08:00,22,1
vision - soumith - 2016-11-09 17:11:00-08:00,23,0
vision - soumith - 2016-11-09 17:11:00-08:00,24,0
vision - soumith - 2016-11-09 17:11:00-08:00,25,0
vision - soumith - 2016-11-09 17:11:00-08:00,26,0
vision - soumith - 2016-11-09 17:11:00-08:00,27,0
vision - soumith - 2016-11-09 17:11:00-08:00,28,0
vision - soumith - 2016-11-09 17:11:00-08:00,29,0
vision - soumith - 2016-11-09 17:11:00-08:00,30,0
vision - soumith - 2016-11-09 17:11:00-08:00,31,0
vision - soumith - 2016-11-09 17:11:00-08:00,32,0
vision - soumith - 2016-11-09 17:11:00-08:00,33,0
vision - soumith - 2016-11-09 17:11:00-08:00,34,0
vision - soumith - 2016-11-09 17:11:00-08:00,35,1
vision - soumith - 2016-11-09 17:11:00-08:00,36,0
vision - soumith - 2016-11-09 17:11:00-08:00,37,0
vision - soumith - 2016-11-09 17:11:00-08:00,38,0
vision - soumith - 2016-11-09 17:11:00-08:00,39,0
vision - soumith - 2016-11-09 17:11:00-08:00,40,0
vision - soumith - 2016-11-09 17:11:00-08:00,41,0
vision - soumith - 2016-11-09 17:11:00-08:00,42,0
vision - soumith - 2016-11-09 17:11:00-08:00,43,0
vision - soumith - 2016-11-09 17:11:00-08:00,44,0
vision - soumith - 2016-11-09 17:11:00-08:00,45,0
vision - soumith - 2016-11-09 17:11:00-08:00,46,0
vision - soumith - 2016-11-09 17:11:00-08:00,47,0
vision - soumith - 2016-11-09 17:11:00-08:00,48,0
vision - soumith - 2016-11-09 17:11:00-08:00,49,0
vision - soumith - 2016-11-09 17:11:00-08:00,50,0
vision - soumith - 2016-11-09 17:11:00-08:00,51,0
vision - soumith - 2016-11-09 17:11:00-08:00,52,0
vision - soumith - 2016-11-09 17:11:00-08:00,53,0
vision - soumith - 2016-11-09 17:11:00-08:00,54,0
vision - soumith - 2016-11-09 17:11:00-08:00,55,0
vision - soumith - 2016-11-09 17:11:00-08:00,56,0
vision - soumith - 2016-11-09 17:11:00-08:00,57,0
vision - soumith - 2016-11-09 17:11:00-08:00,58,0
vision - soumith - 2016-11-09 17:11:00-08:00,59,0
vision - soumith - 2016-11-09 17:11:00-08:00,60,0
vision - soumith - 2016-11-09 17:11:00-08:00,61,0
vision - soumith - 2016-11-09 17:11:00-08:00,62,0
vision - soumith - 2016-11-09 17:11:00-08:00,63,0
vision - soumith - 2016-11-09 17:11:00-08:00,64,0
vision - soumith - 2016-11-09 17:11:00-08:00,65,0
vision - soumith - 2016-11-09 17:11:00-08:00,66,0
vision - soumith - 2016-11-09 17:11:00-08:00,67,3
vision - soumith - 2016-11-09 17:11:00-08:00,68,0
vision - soumith - 2016-11-09 17:11:00-08:00,69,1
vision - soumith - 2016-11-09 17:11:00-08:00,70,1
vision - soumith - 2016-11-09 17:11:00-08:00,71,0
vision - soumith - 2016-11-09 17:11:00-08:00,72,0
vision - soumith - 2016-11-09 17:11:00-08:00,73,0
vision - soumith - 2016-11-09 17:11:00-08:00,74,0
vision - soumith - 2016-11-09 17:11:00-08:00,75,0
vision - soumith - 2016-11-09 17:11:00-08:00,76,0
vision - soumith - 2016-11-09 17:11:00-08:00,77,0
vision - soumith - 2016-11-09 17:11:00-08:00,78,0
vision - soumith - 2016-11-09 17:11:00-08:00,79,0
vision - soumith - 2016-11-09 17:11:00-08:00,80,0
vision - soumith - 2016-11-09 17:11:00-08:00,81,0
vision - soumith - 2016-11-09 17:11:00-08:00,82,0
vision - soumith - 2016-11-09 17:11:00-08:00,83,0
vision - soumith - 2016-11-09 17:11:00-08:00,84,0
vision - soumith - 2016-11-09 17:11:00-08:00,85,0
vision - soumith - 2016-11-09 17:11:00-08:00,86,0
vision - soumith - 2016-11-09 17:11:00-08:00,87,0
vision - soumith - 2016-11-09 17:11:00-08:00,88,0
vision - soumith - 2016-11-09 17:11:00-08:00,89,0
vision - soumith - 2016-11-09 17:11:00-08:00,90,0
vision - soumith - 2016-11-09 17:11:00-08:00,91,0
vision - soumith - 2016-11-09 17:11:00-08:00,92,0
vision - soumith - 2016-11-09 17:11:00-08:00,93,0
vision - soumith - 2016-11-09 17:11:00-08:00,94,0
vision - soumith - 2016-11-09 17:11:00-08:00,95,0
vision - soumith - 2016-11-09 17:11:00-08:00,96,0
vision - soumith - 2016-11-09 17:11:00-08:00,97,0
vision - soumith - 2016-11-09 17:11:00-08:00,98,0
vision - soumith - 2016-11-09 17:11:00-08:00,99,0
vision - soumith - 2016-11-09 17:11:00-08:00,100,0
vision - soumith - 2016-11-09 17:11:00-08:00,101,0
vision - soumith - 2016-11-09 17:11:00-08:00,102,0
vision - soumith - 2016-11-09 17:11:00-08:00,103,0
vision - soumith - 2016-11-09 17:11:00-08:00,104,0
vision - soumith - 2016-11-09 17:11:00-08:00,105,0
vision - soumith - 2016-11-09 17:11:00-08:00,106,0
vision - soumith - 2016-11-09 17:11:00-08:00,107,0
vision - soumith - 2016-11-09 17:11:00-08:00,108,0
vision - soumith - 2016-11-09 17:11:00-08:00,109,1
vision - soumith - 2016-11-09 17:11:00-08:00,110,0
vision - soumith - 2016-11-09 17:11:00-08:00,111,0
vision - soumith - 2016-11-09 17:11:00-08:00,112,0
vision - soumith - 2016-11-09 17:11:00-08:00,113,0
vision - soumith - 2016-11-09 17:11:00-08:00,114,0
vision - soumith - 2016-11-09 17:11:00-08:00,115,0
vision - soumith - 2016-11-09 17:11:00-08:00,116,0
vision - soumith - 2016-11-09 17:11:00-08:00,117,0
vision - soumith - 2016-11-09 17:11:00-08:00,118,0
vision - soumith - 2016-11-09 17:11:00-08:00,119,0
vision - soumith - 2016-11-09 17:11:00-08:00,120,0
vision - soumith - 2016-11-09 17:11:00-08:00,121,0
vision - soumith - 2016-11-09 17:11:00-08:00,122,0
vision - soumith - 2016-11-09 17:11:00-08:00,123,5
vision - soumith - 2016-11-09 17:11:00-08:00,124,0
vision - soumith - 2016-11-09 17:11:00-08:00,125,0
vision - soumith - 2016-11-09 17:11:00-08:00,126,1
vision - soumith - 2016-11-09 17:11:00-08:00,127,4
vision - soumith - 2016-11-09 17:11:00-08:00,128,9
vision - soumith - 2016-11-09 17:11:00-08:00,129,0
vision - soumith - 2016-11-09 17:11:00-08:00,130,0
vision - soumith - 2016-11-09 17:11:00-08:00,131,0
vision - soumith - 2016-11-09 17:11:00-08:00,132,0
vision - soumith - 2016-11-09 17:11:00-08:00,133,1
vision - soumith - 2016-11-09 17:11:00-08:00,134,0
vision - soumith - 2016-11-09 17:11:00-08:00,135,0
vision - soumith - 2016-11-09 17:11:00-08:00,136,0
vision - soumith - 2016-11-09 17:11:00-08:00,137,0
vision - soumith - 2016-11-09 17:11:00-08:00,138,0
vision - soumith - 2016-11-09 17:11:00-08:00,139,1
vision - soumith - 2016-11-09 17:11:00-08:00,140,0
vision - soumith - 2016-11-09 17:11:00-08:00,141,0
vision - soumith - 2016-11-09 17:11:00-08:00,142,0
vision - soumith - 2016-11-09 17:11:00-08:00,143,0
vision - soumith - 2016-11-09 17:11:00-08:00,144,0
vision - soumith - 2016-11-09 17:11:00-08:00,145,0
vision - soumith - 2016-11-09 17:11:00-08:00,146,0
vision - soumith - 2016-11-09 17:11:00-08:00,147,0
vision - soumith - 2016-11-09 17:11:00-08:00,148,0
vision - soumith - 2016-11-09 17:11:00-08:00,149,0
vision - soumith - 2016-11-09 17:11:00-08:00,150,0
vision - soumith - 2016-11-09 17:11:00-08:00,151,0
vision - soumith - 2016-11-09 17:11:00-08:00,152,0
vision - soumith - 2016-11-09 17:11:00-08:00,153,0
vision - soumith - 2016-11-09 17:11:00-08:00,154,0
vision - soumith - 2016-11-09 17:11:00-08:00,155,0
vision - soumith - 2016-11-09 17:11:00-08:00,156,0
vision - soumith - 2016-11-09 17:11:00-08:00,157,0
